Name,BirthDate,StartDate,Job,No.ofCar,No.ofChildren,HomeOwnership
James,1979-06-15,2001-07-01,Reader,2,2,Yes
Claire,1972-10-04,1998-10-04,Professor,3,3,Yes
Amanda,1980-12-17,2010-08-17,Lecturer,0,1,No
Nick,1984-07-26,2016-09-15,Lecturer,1,0,Yes
David,1959-01-11,1990-05-01,Reader,1,1,Yes
Annie,1986-11-05,2018-10-15,Lecturer,1,1,No
Ali,1977-02-18,1995-06-12,Reader,2,2,Yes
Joe,1969-09-26,1987-09-15,Professor,2,2,Yes
Peter,1973-05-01,1999-12-27,Reader,2,3,No
Annette,1984-04-22,2014-08-15,Lecturer,1,1,No
